method	category	language	main_packages	input	output	status	tags	path
Create a Seurat object	Single-cell	r	Seurat;qs2;readr	Set the paths to an R-serialized count matrix and a tab-separated metadata table. The metadata table must contain one row per cell.	output_object=output/seurat_object.qs2; output_metadata=output/seurat_metadata.tsv	draft	single-cell;r;rna	templates/single_cell/create_object.qmd
Single-cell quality control	Single-cell	r	Seurat;dplyr;ggplot2;qs2;readr	input_object=input/seurat_object.qs2	output_object=output/seurat_object_qc.qs2; output_metadata=output/qc_metadata.tsv; output_plot=output/qc_distributions.png; output_sample_plot=output/qc_distributions_by_sample.png	draft	single-cell;r;qc	templates/single_cell/qc.qmd
Doublet detection with scDblFinder	Single-cell	r	Seurat;SingleCellExperiment;qs2;readr;scDblFinder	input_object=input/seurat_object_qc.qs2	output_object=output/seurat_object_doublet_calls.qs2; output_calls=output/doublet_calls.tsv	draft	single-cell;r;doublets	templates/single_cell/doublets_scdblfinder.qmd
Log-normalization and variable features	Single-cell	r	Seurat;ggplot2;qs2	input_object=input/seurat_object_qc.qs2	output_object=output/seurat_object_log_normalized.qs2; output_plot=output/variable_features.png	draft	single-cell;r;normalization;rna	templates/single_cell/normalization_log.qmd
SCTransform normalization	Single-cell	r	Seurat;ggplot2;qs2	input_object=input/seurat_object_qc.qs2	output_object=output/seurat_object_sct.qs2; output_plot=output/sct_variable_features.png	draft	single-cell;r;normalization	templates/single_cell/normalization_sct.qmd
Harmony batch integration	Single-cell	r	Seurat;ggplot2;harmony;lisi;qs2;readr	The input object must already have the selected assay normalized, scaled, and processed with PCA. Harmony is applied to PCA coordinates; it does not replace QC or normalization.	output_object=output/seurat_object_harmony.qs2; output_plot=output/harmony_batch.png; output_lisi=output/harmony_lisi.tsv; output_lisi_plot=output/harmony_lisi.png	draft	single-cell;r;harmony	templates/single_cell/harmony.qmd
UCell signature scoring	Single-cell	r	Seurat;UCell;dplyr;ggplot2;qs2;readr	input_object=input/seurat_object.qs2; signature_path=input/signatures.tsv	output_object=output/seurat_object_ucell.qs2; output_coverage=output/signature_coverage.tsv; output_plot=output/ucell_scores.png	draft	single-cell;r;signatures;ucell	templates/single_cell/ucell.qmd
CytoTRACE2 cell potency	Single-cell	r	CytoTRACE2;Seurat;ggplot2;qs2;readr	input_object=input/seurat_object_qc.qs2; counts_layer=counts	output_object=output/seurat_object_cytotrace2.qs2; output_scores=output/cytotrace2_scores.tsv; output_plot=output/cytotrace2_score.png	draft	single-cell;r;rna	templates/single_cell/cytotrace2.qmd
Single-cell marker comparison	Single-cell	r	Seurat;ggplot2;qs2;readr	input_object=input/seurat_object_clustered.qs2	output_markers=output/markers_group_1_vs_group_2.tsv; output_plot=output/marker_dotplot.png	draft	single-cell;r;markers	templates/single_cell/markers_cell_level.qmd
Slingshot trajectory inference	Single-cell	r	Seurat;SingleCellExperiment;qs2;readr;slingshot	The input Seurat object must contain a reduced-dimensional embedding and a cell-level cluster column. The cluster resolution and the choice of reduction are scientific decisions, not merely plotting settings.	output_object=output/slingshot_sce.qs2; output_pseudotime=output/slingshot_pseudotime.tsv; output_weights=output/slingshot_curve_weights.tsv; output_plot=output/slingshot_trajectories.png	draft	single-cell;r;trajectory	templates/single_cell/slingshot.qmd
